fecha,home,away,gol_home,gol_away
2024-04-13T21:30:00+00:00,Internacional,Bahia,2,1
2024-04-17T00:30:00+00:00,Bahia,Fluminense,2,1
2024-04-21T19:00:00+00:00,Vitoria,Bahia,2,2
2024-04-28T00:00:00+00:00,Bahia,Gremio,1,0
2024-05-05T21:30:00+00:00,Botafogo,Bahia,1,2
2024-05-12T21:30:00+00:00,Bahia,RB Bragantino,1,0
2024-06-02T19:00:00+00:00,Atletico-MG,Bahia,1,1
2024-06-14T00:30:00+00:00,Bahia,Fortaleza EC,1,0
2024-06-16T21:30:00+00:00,Criciuma,Bahia,2,2
2024-06-20T23:00:00+00:00,Flamengo,Bahia,2,1
2024-06-23T19:00:00+00:00,Bahia,Cruzeiro,4,1
2024-06-27T00:30:00+00:00,Bahia,Vasco DA Gama,2,1
2024-06-30T19:00:00+00:00,Sao Paulo,Bahia,3,1
2024-07-04T22:00:00+00:00,Bahia,Juventude,2,0
2024-07-07T21:30:00+00:00,Palmeiras,Bahia,2,0
2024-07-10T22:00:00+00:00,Atletico Paranaense,Bahia,1,3
2024-07-13T19:00:00+00:00,Bahia,Cuiaba,1,2
2024-07-21T19:00:00+00:00,Bahia,Corinthians,0,1
2024-07-25T00:30:00+00:00,Atletico Goianiense,Bahia,1,1
2024-07-27T23:00:00+00:00,Bahia,Internacional,1,1
2024-08-04T19:00:00+00:00,Fluminense,Bahia,1,0
2024-08-11T19:00:00+00:00,Bahia,Vitoria,2,0
2024-08-17T19:00:00+00:00,Gremio,Bahia,0,2
2024-08-25T19:00:00+00:00,Bahia,Botafogo,0,0
2024-09-01T21:30:00+00:00,RB Bragantino,Bahia,2,1
2024-09-15T21:30:00+00:00,Bahia,Atletico-MG,3,0
2024-09-22T00:00:00+00:00,Fortaleza EC,Bahia,4,1
2024-09-29T21:30:00+00:00,Bahia,Criciuma,1,0
2024-10-05T22:00:00+00:00,Bahia,Flamengo,0,2
2024-10-19T00:30:00+00:00,Cruzeiro,Bahia,1,1
2024-10-29T00:00:00+00:00,Vasco DA Gama,Bahia,3,2
2024-11-06T00:30:00+00:00,Bahia,Sao Paulo,0,3
2024-11-09T22:00:00+00:00,Juventude,Bahia,2,1
2024-11-20T21:00:00+00:00,Bahia,Palmeiras,1,2
2024-11-24T19:00:00+00:00,Bahia,Atletico Paranaense,1,1
2024-11-30T22:30:00+00:00,Cuiaba,Bahia,1,2
2024-12-03T23:00:00+00:00,Corinthians,Bahia,3,0
2024-12-08T19:00:00+00:00,Bahia,Atletico Goianiense,2,0
