fecha,home,away,gol_home,gol_away
2024-08-18T18:45:00+00:00,Lazio,Venezia,3,1
2024-08-24T16:30:00+00:00,Udinese,Lazio,2,1
2024-08-31T18:45:00+00:00,Lazio,AC Milan,2,2
2024-09-16T18:45:00+00:00,Lazio,Verona,2,1
2024-09-22T10:30:00+00:00,Fiorentina,Lazio,2,1
2024-09-29T10:30:00+00:00,Torino,Lazio,2,3
2024-10-06T13:00:00+00:00,Lazio,Empoli,2,1
2024-10-19T18:45:00+00:00,Juventus,Lazio,1,0
2024-10-27T13:00:00+00:00,Lazio,Genoa,3,0
2024-10-31T19:45:00+00:00,Como,Lazio,1,5
2024-11-04T19:45:00+00:00,Lazio,Cagliari,2,1
2024-11-10T17:00:00+00:00,Monza,Lazio,0,1
2024-11-24T19:45:00+00:00,Lazio,Bologna,3,0
2024-12-01T14:00:00+00:00,Parma,Lazio,3,1
2024-12-08T19:45:00+00:00,Napoli,Lazio,0,1
2024-12-16T19:45:00+00:00,Lazio,Inter,0,6
2024-12-21T19:45:00+00:00,Lecce,Lazio,1,2
2024-12-28T19:45:00+00:00,Lazio,Atalanta,1,1
2025-01-05T19:45:00+00:00,AS Roma,Lazio,2,0
2025-01-10T19:45:00+00:00,Lazio,Como,1,1
2025-01-19T17:00:00+00:00,Verona,Lazio,0,3
2025-01-26T19:45:00+00:00,Lazio,Fiorentina,1,2
2025-02-03T19:45:00+00:00,Cagliari,Lazio,1,2
2025-02-09T14:00:00+00:00,Lazio,Monza,5,1
2025-02-15T17:00:00+00:00,Lazio,Napoli,2,2
2025-02-22T14:00:00+00:00,Venezia,Lazio,0,0
2025-03-02T19:45:00+00:00,AC Milan,Lazio,1,2
2025-03-10T19:45:00+00:00,Lazio,Udinese,1,1
2025-03-16T14:00:00+00:00,Bologna,Lazio,5,0
2025-03-31T18:45:00+00:00,Lazio,Torino,1,1
2025-04-06T16:00:00+00:00,Atalanta,Lazio,0,1
2025-04-13T18:45:00+00:00,Lazio,AS Roma,1,1
2025-04-23T16:30:00+00:00,Genoa,Lazio,0,2
2025-04-28T18:45:00+00:00,Lazio,Parma,2,2
2025-05-04T10:30:00+00:00,Empoli,Lazio,0,1
2025-05-10T16:00:00+00:00,Lazio,Juventus,1,1
2025-05-18T18:45:00+00:00,Inter,Lazio,2,2
2025-05-25T18:45:00+00:00,Lazio,Lecce,0,1
