fecha,home,away,gol_home,gol_away
2024-08-17T18:45:00+00:00,AC Milan,Torino,2,2
2024-08-24T16:30:00+00:00,Parma,AC Milan,2,1
2024-08-31T18:45:00+00:00,Lazio,AC Milan,2,2
2024-09-14T18:45:00+00:00,AC Milan,Venezia,4,0
2024-09-22T18:45:00+00:00,Inter,AC Milan,1,2
2024-09-27T18:45:00+00:00,AC Milan,Lecce,3,0
2024-10-06T18:45:00+00:00,Fiorentina,AC Milan,2,1
2024-10-19T16:00:00+00:00,AC Milan,Udinese,1,0
2024-10-29T19:45:00+00:00,AC Milan,Napoli,0,2
2024-11-02T19:45:00+00:00,Monza,AC Milan,0,1
2024-11-09T17:00:00+00:00,Cagliari,AC Milan,3,3
2024-11-23T17:00:00+00:00,AC Milan,Juventus,0,0
2024-11-30T17:00:00+00:00,AC Milan,Empoli,3,0
2024-12-06T19:45:00+00:00,Atalanta,AC Milan,2,1
2024-12-15T19:45:00+00:00,AC Milan,Genoa,0,0
2024-12-20T19:45:00+00:00,Verona,AC Milan,0,1
2024-12-29T19:45:00+00:00,AC Milan,AS Roma,1,1
2025-01-11T19:45:00+00:00,AC Milan,Cagliari,1,1
2025-01-14T17:30:00+00:00,Como,AC Milan,1,2
2025-01-18T17:00:00+00:00,Juventus,AC Milan,2,0
2025-01-26T11:30:00+00:00,AC Milan,Parma,3,2
2025-02-02T17:00:00+00:00,AC Milan,Inter,1,1
2025-02-08T17:00:00+00:00,Empoli,AC Milan,0,2
2025-02-15T19:45:00+00:00,AC Milan,Verona,1,0
2025-02-22T17:00:00+00:00,Torino,AC Milan,2,1
2025-02-27T19:45:00+00:00,Bologna,AC Milan,2,1
2025-03-02T19:45:00+00:00,AC Milan,Lazio,1,2
2025-03-08T17:00:00+00:00,Lecce,AC Milan,2,3
2025-03-15T17:00:00+00:00,AC Milan,Como,2,1
2025-03-30T18:45:00+00:00,Napoli,AC Milan,2,1
2025-04-05T18:45:00+00:00,AC Milan,Fiorentina,2,2
2025-04-11T18:45:00+00:00,Udinese,AC Milan,0,4
2025-04-20T18:45:00+00:00,AC Milan,Atalanta,0,1
2025-04-27T10:30:00+00:00,Venezia,AC Milan,0,2
2025-05-05T18:45:00+00:00,Genoa,AC Milan,1,2
2025-05-09T18:45:00+00:00,AC Milan,Bologna,3,1
2025-05-18T18:45:00+00:00,AS Roma,AC Milan,3,1
2025-05-24T18:45:00+00:00,AC Milan,Monza,2,0
