fecha,home,away,gol_home,gol_away
2024-08-19T19:30:00+00:00,Villarreal,Atletico Madrid,2,2
2024-08-25T19:30:00+00:00,Atletico Madrid,Girona,3,0
2024-08-28T19:30:00+00:00,Atletico Madrid,Espanyol,0,0
2024-08-31T17:00:00+00:00,Athletic Club,Atletico Madrid,0,1
2024-09-15T19:00:00+00:00,Atletico Madrid,Valencia,3,0
2024-09-22T19:00:00+00:00,Rayo Vallecano,Atletico Madrid,1,1
2024-09-26T19:00:00+00:00,Celta Vigo,Atletico Madrid,0,1
2024-09-29T19:00:00+00:00,Atletico Madrid,Real Madrid,1,1
2024-10-06T19:00:00+00:00,Real Sociedad,Atletico Madrid,1,1
2024-10-20T14:15:00+00:00,Atletico Madrid,Leganes,3,1
2024-10-27T16:30:00+00:00,Real Betis,Atletico Madrid,1,0
2024-11-03T13:00:00+00:00,Atletico Madrid,Las Palmas,2,0
2024-11-10T15:15:00+00:00,Mallorca,Atletico Madrid,0,1
2024-11-23T15:15:00+00:00,Atletico Madrid,Alaves,2,1
2024-11-30T20:00:00+00:00,Valladolid,Atletico Madrid,0,5
2024-12-08T20:00:00+00:00,Atletico Madrid,Sevilla,4,3
2024-12-15T13:00:00+00:00,Atletico Madrid,Getafe,1,0
2024-12-21T20:00:00+00:00,Barcelona,Atletico Madrid,1,2
2025-01-12T15:15:00+00:00,Atletico Madrid,Osasuna,1,0
2025-01-18T15:15:00+00:00,Leganes,Atletico Madrid,1,0
2025-01-25T15:15:00+00:00,Atletico Madrid,Villarreal,1,1
2025-02-01T17:30:00+00:00,Atletico Madrid,Mallorca,2,0
2025-02-08T20:00:00+00:00,Real Madrid,Atletico Madrid,1,1
2025-02-15T17:30:00+00:00,Atletico Madrid,Celta Vigo,1,1
2025-02-22T17:30:00+00:00,Valencia,Atletico Madrid,0,3
2025-03-01T20:00:00+00:00,Atletico Madrid,Athletic Club,1,0
2025-03-09T13:00:00+00:00,Getafe,Atletico Madrid,2,1
2025-03-16T20:00:00+00:00,Atletico Madrid,Barcelona,2,4
2025-03-29T15:15:00+00:00,Espanyol,Atletico Madrid,1,1
2025-04-06T14:15:00+00:00,Sevilla,Atletico Madrid,1,2
2025-04-14T19:00:00+00:00,Atletico Madrid,Valladolid,4,2
2025-04-19T19:00:00+00:00,Las Palmas,Atletico Madrid,1,0
2025-04-24T19:30:00+00:00,Atletico Madrid,Rayo Vallecano,3,0
2025-05-03T12:00:00+00:00,Alaves,Atletico Madrid,0,0
2025-05-10T19:00:00+00:00,Atletico Madrid,Real Sociedad,4,0
2025-05-15T17:00:00+00:00,Osasuna,Atletico Madrid,2,0
2025-05-18T17:00:00+00:00,Atletico Madrid,Real Betis,4,1
2025-05-25T12:00:00+00:00,Girona,Atletico Madrid,0,4
