fecha,home,away,gol_home,gol_away
2024-08-18T18:45:00+00:00,Rennes,Lyon,3,0
2024-08-24T15:00:00+00:00,Lyon,Monaco,0,2
2024-08-30T18:45:00+00:00,Lyon,Strasbourg,4,3
2024-09-15T18:45:00+00:00,Lens,Lyon,0,0
2024-09-22T18:45:00+00:00,Lyon,Marseille,2,3
2024-09-29T13:00:00+00:00,Toulouse,Lyon,1,2
2024-10-06T13:00:00+00:00,Lyon,Nantes,2,0
2024-10-20T13:00:00+00:00,Le Havre,Lyon,0,4
2024-10-27T13:00:00+00:00,Lyon,Auxerre,2,2
2024-11-01T20:00:00+00:00,Lille,Lyon,1,1
2024-11-10T19:45:00+00:00,Lyon,Saint Etienne,1,0
2024-11-23T20:00:00+00:00,Reims,Lyon,1,1
2024-12-01T16:00:00+00:00,Lyon,Nice,4,1
2024-12-07T20:00:00+00:00,Angers,Lyon,0,3
2024-12-15T19:45:00+00:00,Paris Saint Germain,Lyon,3,1
2025-01-04T20:00:00+00:00,Lyon,Montpellier,1,0
2025-01-11T16:00:00+00:00,Stade Brestois 29,Lyon,2,1
2025-01-18T20:05:00+00:00,Lyon,Toulouse,0,0
2025-01-26T16:15:00+00:00,Nantes,Lyon,1,1
2025-02-02T19:45:00+00:00,Marseille,Lyon,3,2
2025-02-09T14:00:00+00:00,Lyon,Reims,4,0
2025-02-16T14:00:00+00:00,Montpellier,Lyon,1,4
2025-02-23T19:45:00+00:00,Lyon,Paris Saint Germain,2,3
2025-03-02T14:00:00+00:00,Lyon,Stade Brestois 29,2,1
2025-03-09T19:45:00+00:00,Nice,Lyon,0,2
2025-03-16T14:00:00+00:00,Lyon,Le Havre,4,2
2025-03-28T19:45:00+00:00,Strasbourg,Lyon,4,2
2025-04-05T19:05:00+00:00,Lyon,Lille,2,1
2025-04-13T18:45:00+00:00,Auxerre,Lyon,1,3
2025-04-20T18:45:00+00:00,Saint Etienne,Lyon,2,1
2025-04-26T19:05:00+00:00,Lyon,Rennes,4,1
2025-05-04T15:15:00+00:00,Lyon,Lens,1,2
2025-05-10T19:00:00+00:00,Monaco,Lyon,2,0
2025-05-17T19:00:00+00:00,Lyon,Angers,2,0
