fecha,home,away,gol_home,gol_away
2024-08-17T19:30:00+00:00,Valencia,Barcelona,1,2
2024-08-23T17:00:00+00:00,Celta Vigo,Valencia,3,1
2024-08-28T17:00:00+00:00,Athletic Club,Valencia,1,0
2024-08-31T19:30:00+00:00,Valencia,Villarreal,1,1
2024-09-15T19:00:00+00:00,Atletico Madrid,Valencia,3,0
2024-09-21T16:30:00+00:00,Valencia,Girona,2,0
2024-09-24T17:00:00+00:00,Valencia,Osasuna,0,0
2024-09-28T16:30:00+00:00,Real Sociedad,Valencia,3,0
2024-10-04T19:00:00+00:00,Leganes,Valencia,0,0
2024-10-21T19:00:00+00:00,Valencia,Las Palmas,2,3
2024-10-27T14:15:00+00:00,Getafe,Valencia,1,1
2024-11-23T13:00:00+00:00,Valencia,Real Betis,4,2
2024-11-29T20:00:00+00:00,Mallorca,Valencia,2,1
2024-12-07T17:30:00+00:00,Valencia,Rayo Vallecano,0,1
2024-12-13T20:00:00+00:00,Valladolid,Valencia,1,0
2024-12-18T20:30:00+00:00,Espanyol,Valencia,1,1
2024-12-22T13:00:00+00:00,Valencia,Alaves,2,2
2025-01-03T20:00:00+00:00,Valencia,Real Madrid,1,2
2025-01-11T20:00:00+00:00,Sevilla,Valencia,1,1
2025-01-19T20:00:00+00:00,Valencia,Real Sociedad,1,0
2025-01-26T20:00:00+00:00,Barcelona,Valencia,7,1
2025-02-02T15:15:00+00:00,Valencia,Celta Vigo,2,1
2025-02-09T15:15:00+00:00,Valencia,Leganes,2,0
2025-02-15T20:00:00+00:00,Villarreal,Valencia,1,1
2025-02-22T17:30:00+00:00,Valencia,Atletico Madrid,0,3
2025-03-02T20:00:00+00:00,Osasuna,Valencia,3,3
2025-03-08T17:30:00+00:00,Valencia,Valladolid,2,1
2025-03-15T20:00:00+00:00,Girona,Valencia,1,1
2025-03-30T16:30:00+00:00,Valencia,Mallorca,1,0
2025-04-05T14:15:00+00:00,Real Madrid,Valencia,1,2
2025-04-11T19:00:00+00:00,Valencia,Sevilla,1,0
2025-04-19T12:00:00+00:00,Rayo Vallecano,Valencia,1,1
2025-04-22T17:00:00+00:00,Valencia,Espanyol,1,1
2025-05-03T16:30:00+00:00,Las Palmas,Valencia,2,3
2025-05-10T12:00:00+00:00,Valencia,Getafe,3,0
2025-05-14T17:00:00+00:00,Alaves,Valencia,1,0
2025-05-18T17:00:00+00:00,Valencia,Athletic Club,0,1
2025-05-23T19:00:00+00:00,Real Betis,Valencia,1,1
