fecha,home,away,gol_home,gol_away
2024-04-13T21:30:00+00:00,Internacional,Bahia,2,1
2024-04-17T23:00:00+00:00,Palmeiras,Internacional,0,1
2024-04-21T19:00:00+00:00,Atletico Paranaense,Internacional,1,0
2024-04-28T23:00:00+00:00,Internacional,Atletico Goianiense,1,1
2024-06-01T21:30:00+00:00,Cuiaba,Internacional,0,1
2024-06-13T23:00:00+00:00,Internacional,Sao Paulo,0,0
2024-06-16T19:00:00+00:00,Vitoria,Internacional,2,1
2024-06-20T00:30:00+00:00,Internacional,Corinthians,1,0
2024-06-22T20:30:00+00:00,Gremio,Internacional,0,1
2024-06-27T00:30:00+00:00,Internacional,Atletico-MG,1,2
2024-06-30T21:30:00+00:00,Criciuma,Internacional,1,1
2024-07-04T23:00:00+00:00,Fluminense,Internacional,1,1
2024-07-07T21:00:00+00:00,Internacional,Vasco DA Gama,1,2
2024-07-20T21:30:00+00:00,Botafogo,Internacional,1,0
2024-07-27T23:00:00+00:00,Bahia,Internacional,1,1
2024-08-04T20:00:00+00:00,Internacional,Palmeiras,1,1
2024-08-11T22:00:00+00:00,Internacional,Atletico Paranaense,2,2
2024-08-14T22:30:00+00:00,Internacional,Juventude,2,1
2024-08-18T19:00:00+00:00,Atletico Goianiense,Internacional,1,0
2024-08-25T22:00:00+00:00,Internacional,Cruzeiro,1,0
2024-08-28T22:30:00+00:00,Cruzeiro,Internacional,0,0
2024-09-01T21:30:00+00:00,Juventude,Internacional,1,3
2024-09-11T22:30:00+00:00,Internacional,Fortaleza EC,2,1
2024-09-16T23:00:00+00:00,Internacional,Cuiaba,3,0
2024-09-22T21:30:00+00:00,Sao Paulo,Internacional,1,3
2024-09-25T22:00:00+00:00,RB Bragantino,Internacional,2,2
2024-09-29T21:30:00+00:00,Internacional,Vitoria,3,1
2024-10-05T22:00:00+00:00,Corinthians,Internacional,2,2
2024-10-19T19:00:00+00:00,Internacional,Gremio,1,0
2024-10-26T23:00:00+00:00,Atletico-MG,Internacional,1,3
2024-10-30T22:00:00+00:00,Internacional,Flamengo,1,1
2024-11-06T00:30:00+00:00,Internacional,Criciuma,2,0
2024-11-08T22:00:00+00:00,Internacional,Fluminense,2,0
2024-11-21T23:00:00+00:00,Vasco DA Gama,Internacional,0,1
2024-11-24T19:00:00+00:00,Internacional,RB Bragantino,4,1
2024-12-01T19:00:00+00:00,Flamengo,Internacional,3,2
2024-12-05T00:30:00+00:00,Internacional,Botafogo,0,1
2024-12-08T19:00:00+00:00,Fortaleza EC,Internacional,3,0
