fecha,home,away,gol_home,gol_away
2024-08-18T19:30:00+00:00,Mallorca,Real Madrid,1,1
2024-08-25T15:00:00+00:00,Real Madrid,Valladolid,3,0
2024-08-29T19:30:00+00:00,Las Palmas,Real Madrid,1,1
2024-09-01T19:30:00+00:00,Real Madrid,Real Betis,2,0
2024-09-14T19:00:00+00:00,Real Sociedad,Real Madrid,0,2
2024-09-21T19:00:00+00:00,Real Madrid,Espanyol,4,1
2024-09-24T19:00:00+00:00,Real Madrid,Alaves,3,2
2024-09-29T19:00:00+00:00,Atletico Madrid,Real Madrid,1,1
2024-10-05T19:00:00+00:00,Real Madrid,Villarreal,2,0
2024-10-19T19:00:00+00:00,Celta Vigo,Real Madrid,1,2
2024-10-26T19:00:00+00:00,Real Madrid,Barcelona,0,4
2024-11-09T13:00:00+00:00,Real Madrid,Osasuna,4,0
2024-11-24T17:30:00+00:00,Leganes,Real Madrid,0,3
2024-12-01T15:15:00+00:00,Real Madrid,Getafe,2,0
2024-12-04T20:00:00+00:00,Athletic Club,Real Madrid,2,1
2024-12-07T20:00:00+00:00,Girona,Real Madrid,0,3
2024-12-14T20:00:00+00:00,Rayo Vallecano,Real Madrid,3,3
2024-12-22T15:15:00+00:00,Real Madrid,Sevilla,4,2
2025-01-03T20:00:00+00:00,Valencia,Real Madrid,1,2
2025-01-19T15:15:00+00:00,Real Madrid,Las Palmas,4,1
2025-01-25T20:00:00+00:00,Valladolid,Real Madrid,0,3
2025-02-01T20:00:00+00:00,Espanyol,Real Madrid,1,0
2025-02-08T20:00:00+00:00,Real Madrid,Atletico Madrid,1,1
2025-02-15T15:15:00+00:00,Osasuna,Real Madrid,1,1
2025-02-23T15:15:00+00:00,Real Madrid,Girona,2,0
2025-03-01T17:30:00+00:00,Real Betis,Real Madrid,2,1
2025-03-09T15:15:00+00:00,Real Madrid,Rayo Vallecano,2,1
2025-03-15T17:30:00+00:00,Villarreal,Real Madrid,1,2
2025-03-29T20:00:00+00:00,Real Madrid,Leganes,3,2
2025-04-05T14:15:00+00:00,Real Madrid,Valencia,1,2
2025-04-13T14:15:00+00:00,Alaves,Real Madrid,0,1
2025-04-20T19:00:00+00:00,Real Madrid,Athletic Club,1,0
2025-04-23T19:30:00+00:00,Getafe,Real Madrid,0,1
2025-05-04T12:00:00+00:00,Real Madrid,Celta Vigo,3,2
2025-05-11T14:15:00+00:00,Barcelona,Real Madrid,4,3
2025-05-14T19:30:00+00:00,Real Madrid,Mallorca,2,1
2025-05-18T17:00:00+00:00,Sevilla,Real Madrid,0,2
2025-05-24T14:15:00+00:00,Real Madrid,Real Sociedad,2,0
