fecha,home,away,gol_home,gol_away
2024-08-18T19:30:00+00:00,Mallorca,Real Madrid,1,1
2024-08-24T15:00:00+00:00,Osasuna,Mallorca,1,0
2024-08-27T17:00:00+00:00,Mallorca,Sevilla,0,0
2024-08-31T19:30:00+00:00,Leganes,Mallorca,0,1
2024-09-14T12:00:00+00:00,Mallorca,Villarreal,1,2
2024-09-17T17:00:00+00:00,Mallorca,Real Sociedad,1,0
2024-09-23T19:00:00+00:00,Real Betis,Mallorca,1,2
2024-09-27T19:00:00+00:00,Valladolid,Mallorca,1,2
2024-10-05T12:00:00+00:00,Espanyol,Mallorca,2,1
2024-10-20T12:00:00+00:00,Mallorca,Rayo Vallecano,1,0
2024-10-28T20:00:00+00:00,Mallorca,Athletic Club,0,0
2024-11-01T20:00:00+00:00,Alaves,Mallorca,1,0
2024-11-10T15:15:00+00:00,Mallorca,Atletico Madrid,0,1
2024-11-23T17:30:00+00:00,Las Palmas,Mallorca,2,3
2024-11-29T20:00:00+00:00,Mallorca,Valencia,2,1
2024-12-03T18:00:00+00:00,Mallorca,Barcelona,1,5
2024-12-06T20:00:00+00:00,Celta Vigo,Mallorca,2,0
2024-12-14T15:15:00+00:00,Mallorca,Girona,2,1
2024-12-21T13:00:00+00:00,Getafe,Mallorca,0,1
2025-01-20T20:00:00+00:00,Villarreal,Mallorca,4,0
2025-01-25T13:00:00+00:00,Mallorca,Real Betis,0,1
2025-02-01T17:30:00+00:00,Atletico Madrid,Mallorca,2,0
2025-02-10T20:00:00+00:00,Mallorca,Osasuna,1,1
2025-02-16T17:30:00+00:00,Mallorca,Las Palmas,3,1
2025-02-24T20:00:00+00:00,Sevilla,Mallorca,1,1
2025-03-02T17:30:00+00:00,Mallorca,Alaves,1,1
2025-03-09T17:30:00+00:00,Athletic Club,Mallorca,1,1
2025-03-15T15:15:00+00:00,Mallorca,Espanyol,2,1
2025-03-30T16:30:00+00:00,Valencia,Mallorca,1,0
2025-04-05T16:30:00+00:00,Mallorca,Celta Vigo,1,2
2025-04-12T12:00:00+00:00,Real Sociedad,Mallorca,0,2
2025-04-19T16:30:00+00:00,Mallorca,Leganes,0,0
2025-04-22T19:30:00+00:00,Barcelona,Mallorca,1,0
2025-05-05T19:00:00+00:00,Girona,Mallorca,1,0
2025-05-10T16:30:00+00:00,Mallorca,Valladolid,2,1
2025-05-14T19:30:00+00:00,Real Madrid,Mallorca,2,1
2025-05-18T17:00:00+00:00,Mallorca,Getafe,1,2
2025-05-24T19:00:00+00:00,Rayo Vallecano,Mallorca,0,0
