fecha,home,away,gol_home,gol_away
2024-08-17T19:30:00+00:00,Valencia,Barcelona,1,2
2024-08-24T17:00:00+00:00,Barcelona,Athletic Club,2,1
2024-08-27T19:30:00+00:00,Rayo Vallecano,Barcelona,1,2
2024-08-31T15:00:00+00:00,Barcelona,Valladolid,7,0
2024-09-15T14:15:00+00:00,Girona,Barcelona,1,4
2024-09-22T16:30:00+00:00,Villarreal,Barcelona,1,5
2024-09-25T19:00:00+00:00,Barcelona,Getafe,1,0
2024-09-28T19:00:00+00:00,Osasuna,Barcelona,4,2
2024-10-06T14:15:00+00:00,Alaves,Barcelona,0,3
2024-10-20T19:00:00+00:00,Barcelona,Sevilla,5,1
2024-10-26T19:00:00+00:00,Real Madrid,Barcelona,0,4
2024-11-03T15:15:00+00:00,Barcelona,Espanyol,3,1
2024-11-10T20:00:00+00:00,Real Sociedad,Barcelona,1,0
2024-11-23T20:00:00+00:00,Celta Vigo,Barcelona,2,2
2024-11-30T13:00:00+00:00,Barcelona,Las Palmas,1,2
2024-12-03T18:00:00+00:00,Mallorca,Barcelona,1,5
2024-12-07T15:15:00+00:00,Real Betis,Barcelona,2,2
2024-12-15T20:00:00+00:00,Barcelona,Leganes,0,1
2024-12-21T20:00:00+00:00,Barcelona,Atletico Madrid,1,2
2025-01-18T20:00:00+00:00,Getafe,Barcelona,1,1
2025-01-26T20:00:00+00:00,Barcelona,Valencia,7,1
2025-02-02T13:00:00+00:00,Barcelona,Alaves,1,0
2025-02-09T20:00:00+00:00,Sevilla,Barcelona,1,4
2025-02-17T20:00:00+00:00,Barcelona,Rayo Vallecano,1,0
2025-02-22T20:00:00+00:00,Las Palmas,Barcelona,0,2
2025-03-02T15:15:00+00:00,Barcelona,Real Sociedad,4,0
2025-03-16T20:00:00+00:00,Atletico Madrid,Barcelona,2,4
2025-03-27T20:00:00+00:00,Barcelona,Osasuna,3,0
2025-03-30T14:15:00+00:00,Barcelona,Girona,4,1
2025-04-05T19:00:00+00:00,Barcelona,Real Betis,1,1
2025-04-12T19:00:00+00:00,Leganes,Barcelona,0,1
2025-04-19T14:15:00+00:00,Barcelona,Celta Vigo,4,3
2025-04-22T19:30:00+00:00,Barcelona,Mallorca,1,0
2025-05-03T19:00:00+00:00,Valladolid,Barcelona,1,2
2025-05-11T14:15:00+00:00,Barcelona,Real Madrid,4,3
2025-05-15T19:30:00+00:00,Espanyol,Barcelona,0,2
2025-05-18T17:00:00+00:00,Barcelona,Villarreal,2,3
2025-05-25T19:00:00+00:00,Athletic Club,Barcelona,0,3
