fecha,home,away,gol_home,gol_away
2024-08-18T15:00:00+00:00,Angers,Lens,0,1
2024-08-24T17:00:00+00:00,Lille,Angers,2,0
2024-09-01T15:00:00+00:00,Angers,Nice,1,4
2024-09-15T15:00:00+00:00,Strasbourg,Angers,1,1
2024-09-22T15:00:00+00:00,Angers,Nantes,1,1
2024-09-29T15:00:00+00:00,Angers,Reims,1,3
2024-10-04T18:45:00+00:00,Marseille,Angers,1,1
2024-10-20T15:00:00+00:00,Toulouse,Angers,1,1
2024-10-26T15:00:00+00:00,Angers,Saint Etienne,4,2
2024-11-01T18:00:00+00:00,Monaco,Angers,0,1
2024-11-09T20:00:00+00:00,Angers,Paris Saint Germain,2,4
2024-11-24T16:00:00+00:00,Auxerre,Angers,1,0
2024-12-01T16:00:00+00:00,Le Havre,Angers,0,1
2024-12-07T20:00:00+00:00,Angers,Lyon,0,3
2024-12-15T16:00:00+00:00,Rennes,Angers,2,0
2025-01-05T14:00:00+00:00,Angers,Stade Brestois 29,2,0
2025-01-12T16:15:00+00:00,Montpellier,Angers,1,3
2025-01-19T16:15:00+00:00,Angers,Auxerre,2,0
2025-01-26T16:15:00+00:00,Lens,Angers,1,0
2025-02-02T16:15:00+00:00,Angers,Le Havre,1,1
2025-02-09T19:45:00+00:00,Angers,Marseille,0,2
2025-02-16T16:15:00+00:00,Reims,Angers,0,1
2025-02-22T18:00:00+00:00,Saint Etienne,Angers,3,3
2025-03-02T16:15:00+00:00,Angers,Toulouse,0,4
2025-03-09T14:00:00+00:00,Stade Brestois 29,Angers,2,0
2025-03-15T18:00:00+00:00,Angers,Monaco,0,2
2025-03-30T15:15:00+00:00,Angers,Rennes,0,3
2025-04-05T15:00:00+00:00,Paris Saint Germain,Angers,1,0
2025-04-13T15:15:00+00:00,Angers,Montpellier,2,0
2025-04-20T15:15:00+00:00,Nice,Angers,2,1
2025-04-27T13:00:00+00:00,Angers,Lille,0,2
2025-05-04T13:00:00+00:00,Nantes,Angers,0,1
2025-05-10T19:00:00+00:00,Angers,Strasbourg,2,1
2025-05-17T19:00:00+00:00,Lyon,Angers,2,0
